Timestamp,I am 18+ and consent to take part. I understand anomymised data will be published openly,Please enter your prolific ID (this is required to receive payment),Which of the following best describes your current work status? ,"Do you use any AI-powered tools or features in your work or daily life?  (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search)? ","How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search) in your daily life? ",Using AI tools influences my emotional state. ,I sometimes feel emotionally flat or neutral after using AI-powered tools. ,I feel more emotionally drained after long or repeated use of AI tools ,AI tools sometimes give me a sense of relief or support when I feel overloaded. ,My mood can shift quickly during or after using AI tools and chats. ,Using AI-powered tools influences how I see myself and my abilities. ,I sometimes question what is genuinely “mine” versus shaped by suggestions from AI tools. ,AI tools affect how authentic my work or ideas feel. ,I sometimes feel less connected to my real self when I rely heavily on AI tools. ,I worry that regular use of AI systems may blur or weaken parts of my identity. ,AI tools influence how creative I feel. ,I rely on AI tools to spark ideas or creative directions. ,My creative work feels less original when AI tools are involved. ,AI tools help me express ideas more clearly or fluidly. ,AI tools make creative work easier but sometimes less meaningful. ,AI systems influence the way I think internally. ,They affect how deeply I engage with my own thoughts. ,They shape what I focus on or pay attention to. ,They influence how I process problems or decisions. ,AI systems affect my sense of meaning or purpose in some tasks. ,I use AI tools to check whether my thoughts or opinions are correct. ,I use AI tools in ways that reinforce my existing beliefs about a topic. ,I rely on AI tools to help me evaluate or question my thinking. ,I rely on digital tools or AI to validate my thinking rather than explore alternative perspectives.  ,AI tools influence how meaningful certain tasks or activities feel. ,Relying on AI systems can make me feel less connected to my core values. ,"AI systems sometimes affect my sense of authenticity in how I think, work, or express myself ",How have AI tools influenced your emotions or inner experience? ,How have AI tools influenced your creativity or originality? ,What is your age group?,Country of residence,Which of the following best describes your gender?
19/11/2025 18:57:40,Yes,5ebb96b6cd673a0008ace9ce,Student,Yes,Everyday,3,5,2,5,2,5,3,5,4,5,6,5,5,6,5,3,4,5,3,4,3,5,4,3,2,3,3,"Not much, I still feel mostly the same on a day to day basis.",I can generate more ideas and actually put my ideas into action without having to expend a lot of effort.,25 - 34,US,Man
19/11/2025 18:58:24,Yes,5c747b0f181ad300113363ed,Employed full time,Yes,Sometimes,4,3,3,4,1,3,3,2,2,2,3,4,2,4,2,3,4,4,5,4,5,5,4,3,3,2,2,I don't feel like they influence my emotions at all. ,I think that AI tools enhance my creativity.,25 - 34,US,Man
19/11/2025 18:59:09,Yes,64727ea9591087aef21f3dcf,Employed full time,Yes,Very often,7,6,1,6,4,2,1,4,2,1,4,5,3,5,5,1,1,1,3,2,5,5,3,3,2,4,4,"AI tools have influenced my emotions and inner experience mostly by making certain tasks feel easier and more manageable. When I use them, I often feel less stressed and more efficient because they help organize information, generate ideas, or clarify thoughts quickly","AI tools have influenced my creativity by helping me generate new ideas more quickly and explore perspectives I might not have considered on my own. They act like a creative partner, offering suggestions or connections that spark inspiration.",55 - 65,US,Man
19/11/2025 18:59:13,Yes,653d9bd37da5636bc74b625a,Employed full time,Yes,Often,3,4,6,7,3,6,5,3,2,1,3,5,6,4,5,5,4,6,4,5,7,3,5,5,4,5,3,It allows me greater success and faster results so I feel more relieved than anything,It makes me think outside of the box; makes me think of things I never thought about,25 - 34,Canada,Woman
19/11/2025 19:00:16,Yes,613dd5fb512aabe8d5d32393,Self-employed / freelance,Yes,Often,6,2,4,7,5,5,2,6,4,3,6,6,5,6,5,5,5,5,5,5,6,6,7,4,5,3,3,Ive become less lonlier therefore it makes me feel happier,Helps me create ideas i normally get stuck on,35 - 44,UK,Woman
19/11/2025 19:01:25,Yes,671ba62079a3bbabdcfa4ff0,Employed full time,Yes,Occasionally,6,2,2,6,2,6,3,2,2,2,6,6,2,6,2,3,5,6,5,6,6,6,5,3,6,1,1,It helps expands my thought and gives me better insight,It takes my original ideas and gives me new insite and ideas and helps me express in way I could not think of,45 - 54,US,Man
19/11/2025 19:01:25,Yes,66c0e527746d984d9bff5f3f,Employed full time,Yes,Occasionally,3,4,3,6,4,5,2,4,2,1,5,6,4,7,5,5,6,5,7,6,7,7,5,6,6,2,3,AI tools influenced my emotions by allowing me to feel more positive about myself when it helps me increase my productivity by validation ,"AI tools helped have a positive influence on my creativity because AI helps me bounce ideas back and forth, allowing me to freely express my ideas ",25 - 34,Canada,Man
19/11/2025 19:04:10,Yes,5f516a44067fba1b4c562a55,Employed full time,Yes,Often,2,2,1,6,3,5,2,3,1,1,6,5,2,6,4,4,3,2,4,4,6,6,6,5,5,1,2,They’ve helped me make sense of my emotions more by confirming or deneying things that I’ve felt about ,They’ve helped me when I have an idea but don’t know how to fully process it so they’ve helped me process it and shape it better than I could ,35 - 44,Canada,Man
19/11/2025 19:04:11,Yes,69139e76f094fe9ae2af2891,Student,Yes,Very often,2,6,4,5,5,5,6,6,6,6,7,3,7,5,6,6,3,4,6,3,6,4,5,5,5,5,6,By making me feel less in control and less smart,"I try to not use them for creative tasks, so the effect has been minimal",18 - 24,Canada,Man
19/11/2025 19:04:38,Yes,5671131573f58b0005664333,Employed full time,Yes,Everyday,2,7,1,1,1,2,2,1,1,3,3,4,2,6,5,1,4,6,6,5,3,3,3,2,3,1,3,I view AI strictly as a utility and it hasn't influenced my emotional state ,AI tools serve a practical purpose for me but don't factor into my creative work,35 - 44,Canada,Man
19/11/2025 19:05:49,Yes,691769fb0d1b934f947b35f0,Student,Yes,Sometimes,1,1,1,4,1,5,1,5,1,4,1,5,1,5,4,1,1,1,5,4,5,1,4,2,1,1,5,I don't believe it has,Adding thoughts to reports that may not strictly be my own but thoughts I agree with nontheless.,18 - 24,New Zealand,Man
19/11/2025 19:12:11,Yes,64c9892e8e7e06812b775c0c,Employed full time,No,Rarely,2,4,2,1,4,1,1,2,4,3,2,1,7,1,7,1,1,1,1,4,3,4,1,1,5,4,2,I distrust ai and think it's kind of a scam so the only emotion it elicits is resentment.,They have made me more reliant on my own thoughts and creativity since people quickly can lose abilities if they don't use. I will never be reliant on ai.,45 - 54,Canada,Woman
19/11/2025 19:14:00,Yes,662940d70f2f630ed69ceb40,Employed full time,Yes,Often,4,2,4,5,2,4,5,5,5,6,5,5,3,6,5,2,2,4,3,3,1,2,4,2,3,2,4,I would guess that the use of AI tools has influenced my sense of accomplishment when I use it to help me complete a task for work. It has influenced by level of peace when I use to help me resolve an issue at home. ,I would say that AI tools have influenced my creativity by helping me to be more creative in the lessons I plan for my classroom. ,45 - 54,US,Man
19/11/2025 19:17:10,Yes,66b77ee766f2916fff125c78,Self-employed / freelance,Yes,Often,2,7,7,3,2,6,7,7,7,7,7,2,6,3,7,2,2,2,6,4,2,2,2,3,6,2,6,Makes me feel less confident in my abilities within certain tasks,"Not really anything to do with creativity, more to do with technical ability",18 - 24,Canada,Man
19/11/2025 19:17:10,Yes,5d537c0cecc84200153075e9,Employed full time,Yes,Sometimes,1,7,1,1,1,1,1,1,1,2,5,6,1,7,2,1,3,1,2,1,1,5,1,7,1,1,2,They don't really influence my emotions in an extreme way but instead dull them to feeling a bit bland when using the AI. ,They help me by being a springboard to new ideas when I can't think of anything to say.,45 - 54,US,Woman
19/11/2025 19:17:34,Yes,658e9835dd1140be88c96a76,Employed full time,Yes,Sometimes,3,1,1,4,2,3,4,5,2,2,4,4,4,5,5,3,3,3,3,3,6,4,5,3,3,2,3,It doesn't,It gives me more ideas I wouldn't have thought of otherwise,25 - 34,Australia,Prefer not to say
19/11/2025 19:18:07,Yes,61517957a9ccf240eb5e5231,Employed full time,Yes,Everyday,2,1,3,6,1,6,5,4,2,1,5,6,3,6,6,5,6,6,6,6,7,4,7,6,5,2,1,They haven't.,They have increased.,35 - 44,UK,Man
