variable,question_text,description,type,values
consent,I am 18+ and consent to take part. I understand anonymised data will be published openly.,Consent to participate and allow anonymised data to be published.,categorical,Allowed values: yes (stored as 'yes'; original raw label: 'Yes')
work_status,Which of the following best describes your current work status?,Participant employment status.,categorical,"Allowed values: student, employed_full_time, employed_part_time, self_employed, not_currently_working, other"
ai_tool_use,"Do you use any AI-powered tools or features in your work or daily life? (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search)",Whether participant uses AI tools.,categorical,"Allowed values: yes, no"
ai_tool_use_frequency,"How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search) in your daily life?",Frequency of AI tool or digital tool use.,categorical,"Allowed values (stored as snake_case): never, rarely, sometimes, occasionally, often, very_often, everyday"
ai_emotion_influence,Using AI tools influences my emotional state.,Extent to which AI use affects emotional state.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_emotion_flat_after_use,I sometimes feel emotionally flat or neutral after using AI-powered tools.,Emotional flatness after AI use.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_emotion_drained_after_use,I feel more emotionally drained after long or repeated use of AI tools.,Emotional fatigue caused by AI usage.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_emotion_relief_support,AI tools sometimes give me a sense of relief or support when I feel overloaded.,AI as a source of relief or emotional support.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_emotion_mood_shift,My mood can shift quickly during or after using AI tools and chats.,Mood variability associated with AI use.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_identity_influence,Using AI-powered tools influences how I see myself and my abilities.,Impact of AI use on identity and self-view.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_identity_mine_vs_ai,I sometimes question what is genuinely 'mine' versus shaped by suggestions from AI tools.,Concerns about AI shaping personal thoughts.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_identity_authenticity_work,AI tools affect how authentic my work or ideas feel.,Authenticity concerns regarding AI-influenced work.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_identity_less_connected_self,I sometimes feel less connected to my real self when I rely heavily on AI tools.,Feeling less connected to self when using AI.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_identity_blur_weaken,I worry that regular use of AI systems may blur or weaken parts of my identity.,Identity erosion concerns tied to AI use.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_creativity_influence,AI tools influence how creative I feel.,Impact of AI on creative sense.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_creativity_spark_ideas,I rely on AI tools to spark ideas or creative directions.,AI as source of creative stimulus.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_creativity_less_original,My creative work feels less original when AI tools are involved.,Originality concerns about AI-assisted creativity.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_creativity_clearer_expression,AI tools help me express ideas more clearly or fluidly.,AI improves clarity or expression.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_creativity_less_meaningful,AI tools make creative work easier but sometimes less meaningful.,Meaningfulness impact of AI on creative work.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_thinking_influence,AI systems influence the way I think internally.,Internal cognitive influence of AI.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_thinking_depth_engagement,They affect how deeply I engage with my own thoughts.,AI impacts depth of thinking.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_thinking_focus_attention,They shape what I focus on or pay attention to.,AI influences focus and attention direction.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_thinking_process_problems,They influence how I process problems or decisions.,AI affects problem-processing style.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_thinking_meaning_purpose,AI systems affect my sense of meaning or purpose in some tasks.,AI influences task meaning and purpose.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_validation_check_thoughts,I use AI tools to check whether my thoughts or opinions are correct.,AI used as validation mechanism.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_validation_reinforce_beliefs,I use AI tools in ways that reinforce my existing beliefs about a topic.,Belief reinforcement using AI.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_validation_evaluate_thinking,I rely on AI tools to help me evaluate or question my thinking.,AI used for thinking evaluation.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_validation_rather_than_alternatives,I rely on digital tools or AI to validate my thinking rather than explore alternative perspectives.,Narrowing perspective due to AI use.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_meaning_tasks_feel,AI tools influence how meaningful certain tasks or activities feel.,Perceived task meaningfulness influenced by AI.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_values_less_connected,Relying on AI systems can make me feel less connected to my core values.,Values-alignment concerns.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_authenticity_think_work_express,"AI systems sometimes affect my sense of authenticity in how I think, work, or express myself.",Authenticity concerns regarding thinking and expression.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_effects_on_emotions,How have AI tools influenced your emotions or inner experience?,Open-text emotional effects of AI.,text,Open-text responses describing how AI use has affected participants’ emotions. Minimal cleaning applied (whitespace trimming newline removal). Raw wording preserved exactly. Empty string indicates no response.
ai_effects_on_creativity,How have AI tools influenced your creativity or originality?,Open-text creativity effects of AI.,text,"Open-text responses describing how AI use has affected participants’ sense of creativity. Minimal cleaning applied (whitespace trimming, newline removal). Raw wording preserved exactly. Empty string indicates no response."
age_group,What is your age group?,Age category.,categorical,"Allowed values: 18_24, 25_34, 35_44, 45_54, 55_65, over_65"
country,Country of residence.,Country participant lives in.,categorical,"Allowed values (ISO-like codes): au, ca, ie, nz, uk, us"
gender,Which of the following best describes your gender?,Participant gender identity.,categorical,"Allowed values: man, woman, non_binary, prefer_not_to_say"
